Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team,salary,position,season,height
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Oklahoma City Thunder,25842697, C,2019-2020,213.36
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Oklahoma City Thunder,25842697, C,2019-2020,213.36
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Oklahoma City Thunder,25842697, C,2019-2020,213.36
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Oklahoma City Thunder,25842697, C,2019-2020,213.36
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Oklahoma City Thunder,25842697, C,2019-2020,213.36
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Oklahoma City Thunder,25842697, C,2019-2020,213.36
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Oklahoma City Thunder,25842697, C,2019-2020,210.82
Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,Oklahoma City Thunder,25842697, C,2019-2020,210.82
Bam Adebayo,PF,22,MIA,72,2417,20.3,0.598,0.018000000000000002,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,Miami Heat,3454080, PF,2019-2020,208.28
Bam Adebayo,PF,22,MIA,72,2417,20.3,0.598,0.018000000000000002,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,Miami Heat,3454080, PF,2019-2020,208.28
Bam Adebayo,PF,22,MIA,72,2417,20.3,0.598,0.018000000000000002,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,Miami Heat,3454080, PF,2019-2020,205.74
Bam Adebayo,PF,22,MIA,72,2417,20.3,0.598,0.018000000000000002,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,Miami Heat,3454080, PF,2019-2020,205.74
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,San Antonio Spurs,26000000, PF,2019-2020,210.82
